ID	CA	ES	FR	EN	CAS	ACCIO_1	ACCIO_2	ACCIO_3
1971	miglustat	miglustat	miglustat	miglustat	72599-27-0	inhibidor de la glucosilceramidasintasa		
1972	milnacipran	milnaciprán	milnacipran	milnacipran	92623-85-3	antidepressiu		
1973	milrinona	milrinona	milrinone	milrirone	78415-72-2	cardiotònic	vasodilatador	
1974	miltefosina	miltefosina	miltéfosine	miltefosine	58066-85-6	antineoplàstic		
1975	minociclina	minociclina	minocycline	minocycline	10118-90-8	antibiòtic tetraciclínic		
1976	minoxidil	minoxidil	minoxidil	minoxidil	38304-91-5	antialopècic	antihipertensor	vasodilatador
1977	mirabegró	mirabegrón	mirabégron	mirabegron	223673-61-8	agonista de l’adrenoreceptor ß3		
1978	mirtazapina	mirtazapina	mirtazapine	mirtazapine	61337-67-5	antidepressiu		
1979	mirtecaïna	mirtecaína	myrtécaïne	myrtecaine	7712-50-7	anestèsic local		
1980	misoprostol	misoprostol	misoprostol	misoprostol	59122-46-2	prostaglandina		
1981	mitobronitol	mitobronitol	mitobronitol	mitobronitol	488-41-5	antineoplàstic		
1982	mitoguazona	mitoguazona	mitoguazone	mitoguazone	459-86-9	antineoplàstic		
1983	mitolactol	mitolactol	mitolactol	mitolactol	10318-26-0	antineoplàstic		
1984	mitomicina	mitomicina	mitomycine	mitomycin	50-07-7	antineoplàstic		
1985	mitotà	mitotano	mitotane	mitotane	53-19-0	antineoplàstic		
1986	mitoxantrona	mitoxantrona	mitoxantrone	mitoxantrone	65271-80-9	antineoplàstic		
1987	mivazerol	mivazerol	mivazérol	mivazerol	125472-02-8	agonista dels adrenoreceptors alfa		
1988	mizolastina	mizolastina	mizolastine	mizolastine	108612-45-9	antihistamínic		
1989	mizoribina	mizoribina	mizoribine	mizoribine	50924-49-7	antifúngic	immunosupressor	
1990	moclobemida	moclobemida	moclobémide	moclobemide	71320-77-9	antidepressiu		
1991	modafinil	modafinilo	modafinil	modafinil	68693-11-8	psicoestimulant		
1992	mofebutazona	mofebutazona	mofébutazone	mofebutazone	2210-63-1	analgèsic	antiinflamatori	antipirètic
1993	mofezolac	mofezolaco	mofézolac	mofezolac	78967-07-4	antiinflamatori		
1994	mogamulizumab	mogamulizumab	mogamulizumab	mogamulizumab	1159266-37-1	antineoplàstic		
1995	molgramostim	molgramostim	molgramostim	molgramostim	99283-10-0	antineutropènic		
1996	molindona	molindona	molindone	molindone	7416-34-4	tranquil·litzant		
1997	molsidomina	molsidomina	molsidomine	molsidomine	25717-80-0	vasodilatador coronari		
1998	mometasona	mometasona	mométasone	mometasone	105102-22-5	glucocorticoide		
1999	monensina	monensina	monensin	monensin	17090-79-8	antibiòtic antifúngic	antiprotozoari	
2000	monobenzona	monobenzona	monobenzone	monobenzone	103-16-2	despigmentant		
2001	mononitrat d'isosorbida	monotrinato de isosorbida	mononitrate d'isosorbide	isosorbide mononitrate	16051-77-7	antiarrítmic	vasodilatador coronari	
2002	monoxerutina	monoxerutina	monoxérutine	monoxerutin	23869-24-1	antihemorroidal	vasoprotector	
2003	montelukast	montelukast	montélukast	montelukast	158966-92-8	antiasmàtic	broncodilatador	
2004	monteplasa	monteplasa	montéplase	monteplase	156616-23-8	trombolític		
2005	moperona	moperona	mopérone	moperone	1050-79-9	neurolèptic		
2006	moracizina	moracizina	moracizine	moracizine	31883-05-3	antiarrítmic		
2007	morantel	morantel	morantel	morantel	20574-50-9	antihelmíntic		
2008	morclofona	morclofona	morclofone	morclofone	31848-01-8	antitussigen		
2009	morinamida	morinamida	morinamide	morinamide	952-54-5	antituberculós		
2010	morniflumat	morniflumato	morniflumate	morniflumate	65847-85-0	antiinflamatori		
2011	moroctocog alfa	moroctocog alfa	moroctocog alfa	moroctocog alfa		antihemorràgic		
2012	moroxidina	moroxidina	moroxydine	moroxydine	3731-59-7	antivíric		
2013	morruat de sodi	morruato de sodio	morrhuate de sodium	sodium morrhuate	8031-09-2	esclerosant		
2014	mosapramina	mosapramina	mosapramine	mosapramine	89419-40-9	antipsicòtic		
2015	motretinida	motretinida	motrétinide	motretinide	56281-36-8	queratolític		
2016	moxaverina	moxaverina	moxavérine	moxaverine	10539-19-2	antiespasmòdic		
2017	moxetumomab pasudotox	moxetumomab pasudotox	moxétumomab pasudotox	moxetumomab pasudotox	1020748-57-5	antineoplàstic		
2018	moxifloxacina	moxifloxacino	moxifloxacine	moxifloxacin	151096-09-2	antibiòtic fluoroquinolònic		
2019	moxisilita	moxisilita	moxisylyte	moxisylyte	54-32-0	blocador d'adrenoreceptors beta	vasodilatador perifèric	
2020	moxonidina	moxonidina	moxonidine	moxonidine	75438-57-2	antihipertensor		
2021	mupirocina	mupirocina	mupirocine	mupirocin	12650-69-0	antibiòtic		
2022	muromonab-CD3	muromonab-CD3	muromonab-CD3	muromonab-CD3		immunomodulador		
2023	nabilona	nabilona	nabilone	nabilone	51022-71-0	tranquil·litzant		
2024	nabumetona	nabumetona	nabumétone	nabumetone	42924-53-8	antiinflamatori		
2025	nadida	nadida	nadide	nadide	53-84-9	antivertiginós	coenzim	
2026	nadifloxacina	nadifloxacino	nadifloxacine	nadifloxacin	124858-35-1	antiacneic		
2027	nadolol	nadolol	nadolol	nadolol	42200-33-9	blocador d'adrenoreceptors beta		
2028	nadoxolol	nadoxolol	nadoxolol	nadoxolol	54063-51-3	antiarrítmic		
2029	nadroparina càlcica	nadroparina cálcica	nadroparine calcique	nadroparin calcium		anticoagulant		
2030	nafamostat	nafamostat	nafamostat	nafamostat	81525-10-2	enzim inhibidor de la proteasa		
2031	nafarelina	nafarelina	nafaréline	nafarelin	76932-56-4	antineoplàstic		
2032	nafazatrom	nafazatrom	nafazatrom	nafazatrom	59040-30-1	antitrombòtic		
2033	nafazolina	nafazolina	naphazoline	naphazoline	835-31-4	vasoconstrictor		
2034	nafcil·lina	nafcilina	nafcilline	nafcillin	147-52-4	antibiòtic penicil·línic		
2035	naftazona	naftazona	naftazone	naftazone	15687-37-3	hemostàtic		
2036	naftidrofuril	naftidrofurilo	naftidrofuryl	naftidrofuryl	31329-57-4	vasodilatador perifèric		
2037	naftifina	naftifina	naftifine	naftifine	65472-88-0	antifúngic		
2038	naftopidil	naftopidil	naftopidil	naftopidil	57149-07-2	antihipertensor		
2039	nalbufina	nalbufina	nalbuphine	nalbuphine	20594-83-6	antagonista de la morfina	antídot	
2040	naldemedina	naldemedina	naldémédine	naldemedine	916072-89-4	antagonista dels receptors opiacis		
2041	nalfurafina	nalfurafina	nalfurafine	nalfurafine	152657-84-6	antagonista del receptor opioide kappa		
2042	nalmefè	nalmefeno	nalméfène	nalmefene	55096-26-9	antagonista opioide		
2043	nalorfina	nalorfina	nalorphine	nalorphine	62-67-9	antagonista de la morfina	antídot en la intoxicació per opiacis	
2044	naloxegol	naloxegol	naloxégol	naloxegol	854601-70-0	antagonista dels receptors opiacis mu		
2045	naloxona	naloxona	naloxone	naloxone	465-65-6	antagonista de la morfina	antídot en la intoxicació per opiacis	
2046	naltrexona	naltrexona	naltrexone	naltrexone	16590-41-3	antagonista de la morfina	antídot en la intoxicació per opiacis	
2047	nandrolona	nandrolona	nandrolone	nandrolone	434-22-0	anabolitzant		
2048	naproxèn	naproxeno	naproxène	naproxen	22204-53-1	analgèsic	antiinflamatori	antipirètic
2049	naratriptan	naratriptán	naratriptan	naratriptan	121679-13-8	antimigranyós		
2050	nartograstim	nartograstim	nartograstim	nartograstim	134088-74-7	factor estimulador de les colònies de granulòcits		
2051	nasaruplasa	nasaruplasa	nasaruplase	nasaruplase	99821-44-0	trombolític		
2052	nasaruplasa beta	nasaruplasa beta	nasaruplase bêta	nasaruplase beta	136653-69-5	trombolític		
2053	natalizumab	natalizumab	natalizumab	natalizumab	189261-10-7	anticòs monoclonal	immunomodulador	
2054	natamicina	natamicina	natamycine	natamycin	7681-93-8	antifúngic local		
2055	nateglinida	nateglinida	natéglinide	nateglinide	105816-04-4	hipoglucemiant oral		
2056	nateplasa	nateplasa	natéplase	nateplase	159445-63-3	trombolític		
2057	nebivolol	nebivolol	nébivolol	nebivolol	99200-09-6	antiarrítmic	antihipertensor	
2058	nebracetam	nebracetam	nébracétam	nebracetam	116041-13-5	agonista muscarínic		
2059	nedaplatí	nedaplatino	nédaplatine	nedaplatin	95734-82-0	antineoplàstic		
2060	nedocromil	nedocromilo	nédocromil	nedocromil	69049-73-6	antial·lèrgic		
2061	nefazodona	nefazodona	néfazodone	nefazodone	83366-66-9	antidepressiu		
2062	nefiracetam	nefiracetam	néfiracétam	nefiracetam	77191-36-7	nootròpic		
2063	nefopam	nefopam	néfopam	nefopam	13669-70-0	analgèsic		
2064	nelarabina	nelarabina	nélarabine	nelarabine	121032-29-9	antineoplàstic		
2065	nelfinavir	nelfinavir	nelfinavir	nelfinavir	159989-64-7	anti-VIH		
2066	neltenexina	neltenexina	nelténexine	neltenexine	99453-84-6	mucolític		
2067	nemonaprida	nemonaprida	némonapride	nemonapride	93664-94-9	neurolèptic		
2068	neomicina	neomicina	néomycine	neomycin		antibiòtic aminoglicosídic		
2069	nepafenac	nepafenaco	népafénac	nepafenac	78281-72-8	antiinflamatori		
2070	nepinalona	nepinalona	népinalone	nepinalone	22443-11-4	antitussigen		
2071	neratinib	neratinib	nératinib	neratinib	698387-09-6	antineoplàstic		
2072	nesiritida	nesiritida	nésiritide	nesiritide	124584-08-3	agent cardiovascular		
2073	neticonazole	neticonazol	néticonazole	neticonazole	130726-68-0	antifúngic		
2074	netilmicina	netilmicina	nétilmicine	netilmicin	56391-56-1	antibiòtic aminoglicosídic		
2075	netupitant	netupitant	nétupitant	netupitant	290297-26-6	antagonista dels receptors NK1 de la neurocinina		
2076	nevirapina	nevirapina	névirapine	nevirapine	129618-40-2	anti-VIH		
2077	nialamida	nialamida	nialamide	nialamide	51-12-7	antidepressiu IMAO		
2078	niaprazina	niaprazina	niaprazine	niaprazine	27367-90-4	antial·lèrgic	antihistamínic H1	
2079	nicaravèn	nicaravén	nicaraven	nicaraven	79455-30-4	vasodilatador cerebral		
2080	nicardipina	nicardipino	nicardipine	nicardipine	55985-32-5	vasodilatador cerebral		
2081	nicergolina	nicergolina	nicergoline	nicergoline	27848-84-6	vasodilatador		
2082	niceritrol	niceritrol	nicéritrol	niceritrol	5868-05-3	antihiperlipèmic		
2083	niclosamida	niclosamida	niclosamide	niclosamide	50-65-7	antihelmíntic		
2084	nicocodina	nicocodina	nicocodine	nicocodine	3688-66-2	antitussigen		
2085	nicofibrat	nicofibrato	nicofibrate	nicofibrate	31980-29-7	hipolipemiant		
2086	nicomorfina	nicomorfina	nicomorphine	nicomorphine	639-48-5	analgèsic opiaci		
2087	nicorandil	nicorandil	nicorandil	nicorandil	65141-46-0	vasodilatador coronari		
2088	nicotinamida	nicotinamida	nicotinamide	nicotinamide	98-92-0	emprat en la prevenció i el tractament del dèficit de vitamines del complex B		
2089	nicotinat d'inositol	nicotinato de inositol	nicotinate d'inositol	inositol nicotinate	6556-11-2	vasodilatador perifèric		
2090	nifedipina	nifedipino	nifédipine	nifedipine	21829-25-4	vasodilatador coronari		
2091	nifekalant	nifekalant	nifékalant	nifekalant	130636-43-0	antiarrítmic		
2092	nifenazona	nifenazona	nifénazone	nifenazone	2139-47-1	analgèsic	antiinflamatori	antipirètic
2093	nifuratel	nifuratel	nifuratel	nifuratel	4936-47-4	antiinfecciós	tricomonicida	
2094	nifuroxazida	nifuroxazida	nifuroxazide	nifuroxazide	965-52-6	antidiarreic		
2095	nifuroxima	nifuroxima	nifuroxime	nifuroxime	6236-05-1	antifúngic local	antiinfecciós derivat del nitrofuran	
2096	nifurtimox	nifurtimox	nifurtimox	nifurtimox	23256-30-6	tripanosomicida		
2097	nifurtoïnol	nifurtoinol	nifurtoïnol	nifurtoinol	1088-92-2	antiinfecciós derivat del nitrofuran	antisèptic urinari	
2098	nifurzida	nifurzida	nifurzide	nifurzide	39978-42-2	antidiarreic		
2099	niketamida	niquetamida	nicéthamide	nikethamide	59-26-7	analèptic		
2100	nilotinib	nilotinib	nilotinib	nilotinib	641571-10-0	antineoplàstic		
2101	nilutamida	nilutamida	nilutamide	nilutamide	63612-50-0	antiandrogen		
2102	nilvadipina	nilvadipino	nilvadipine	nilvadipine	75530-68-6	antihipertensor		
2103	nimesulida	nimesulida	nimésulide	nimesulide	51803-78-2	antiinflamatori		
2104	nimetazepam	nimetazepam	nimétazépam	nimetazepam	2011-67-8	hipnòtic sedant		
2105	nimodipina	nimodipino	nimodipine	nimodipine	66085-59-4	vasodilatador cerebral		
2106	nimorazole	nimorazol	nimorazole	nimorazole	6506-37-2	tricomonicida		
2107	nimustina	nimustina	nimustine	nimustine	42471-28-3	antineoplàstic		
2108	nintedanib	nintedanib	nintédanib	nintedanib	656247-17-5	antineoplàstic		
2109	niperotidina	niperotidina	nipérotidine	niperotidine	84845-75-0	antisecretor gàstric		
2110	nipradilol	nipradilol	nipradilol	nipradilol	81486-22-8	vasodilatador		
2111	niraparib	niraparib	niraparib	niraparib	1038915-60-4	antineoplàstic		
2112	nisoldipina	nisoldipino	nisoldipine	nisoldipine	63675-72-9	antianginós	antihipertensor	
2113	nistatina	nistatina	nystatine	nystatin	1400-61-9	antifúngic		
2114	nitazoxanida	nitazoxanida	nitazoxanide	nitazoxanide	55981-09-4	antiprotozoari		
2115	nitisinona	nitisinona	nitisinone	nitisinone	104206-65-7	antihipertiroxinèmic		
2116	nitrazepam	nitrazepam	nitrazépam	nitrazepam	146-22-5	hipnòtic sedant		
2117	nitrendipina	nitrendipino	nitrendipine	nitrendipine	39562-70-4	antihipertensor		
2118	nitrofurantoïna	nitrofurantoína	nitrofurantoïne	nitrofurantoin	67-20-9	antiinfecciós derivat del nitrofuran	antisèptic urinari	
2119	nitroxolina	nitroxolina	nitroxoline	nitroxoline	4008-48-4	antisèptic urinari		
2120	nivolumab	nivolumab	nivolumab	nivolumab	946414-94-4	immunomodulador		
2121	nizatidina	nizatidina	nizatidine	nizatidine	76963-41-2	antihistamínic H1	antiulcerós	
2122	nizofenona	nizofenona	nizofénone	nizofenone	54533-85-6	nootròpic	vasodilatador cerebral	
2123	nocloprost	nocloprost	nocloprost	nocloprost	79360-43-3	prostaglandina E2		
2124	nolatrexed	nolatrexed	nolatrexed	nolatrexed	147149-76-6	antimetabòlit antineoplàstic		
2125	nomegestrol	nomegestrol	nomégestrol	nomegestrol	58691-88-6	hormona sexual		
2126	nonacog alfa	nonacog alfa	nonacog alfa	nonacog alfa	113478-33-4	hemostàtic		
2127	nonivamida	nonivamida	nonivamide	nonivamide	2444-46-4	antiinflamatori		
2128	nonoxinol-9	nonoxinol 9	nonoxynol 9	nonoxynol 9	26027-38-3	espermicida		
2129	nordazepam	nordazepam	nordazépam	nordazepam	1088-11-5	tranquil·litzant		
2130	norelgestromina	norelgestromina	norelgestromine	norelgestromin	53016-31-2	progestagen		
2131	norepinefrina	norepinefrina	norépinéphrine	norepinephrine	51-41-2	cardiotònic		
2132	noretandrolona	noretandrolona	noréthandrolone	norethandrolone	52-78-8	anabolitzant		
2133	noretinodrel	noretinodrel	norétynodrel	noretynodrel	68-23-5	progestagen		
2134	noretisterona	noretisterona	noréthistérone	norethisterone	68-22-4	progestagen		
2135	norfenefrina	norfenefrina	norfénéfrine	norfenefrine	536-21-0	simpaticomimètic		
2136	norfloxacina	norfloxacino	norfloxacine	norfloxacin	70458-96-7	antibiòtic fluoroquinolònic		
2137	norflurà	norflurano	norflurane	norflurane	811-97-2	anestèsic inhalatori		
2138	norgestimat	norgestimato	norgestimate	norgestimate	35189-28-7	progestagen		
2139	norgestrel	norgestrel	norgestrel	norgestrel	6533-00-2	progestagen		
2140	norgestrienona	norgestrienona	norgestriénone	norgestrienone	848-21-5	progestagen		
2141	normetadona	normetadona	norméthadone	normethadone	467-85-6	analgèsic opiaci		
2142	nortriptilina	nortriptilina	nortriptyline	nortriptyline	72-69-5	antidepressiu tricíclic		
2143	noscapina	noscapina	noscapine	noscapine	128-62-1	antitussigen		
2144	novobiocina	novobiocina	novobiocine	novobiocin	303-81-1	antibiòtic inhibidor de la girasa		
2145	noxitiolina	noxitiolina	noxytioline	noxytiolin	15599-39-0	antisèptic	desinfectant	
2146	nusinersèn	nusinersén	nusinersen	nusinersen	1258984-36-9	agent de producció de la proteïna de la supervivència de les motoneurones		
2147	obinutuzumab	obinutuzumab	obinutuzumab	obinutuzumab	949142-50-1	immunomodulador		
2148	oblimersèn	oblimerseno	oblimersen	oblimersen	190977-41-4	antivíric		
2149	ocrelizumab	ocrelizumab	ocrélizumab	ocrelizumab	637334-45-3	anticòs monoclonal humanitzat		
2150	ocriplasmina	ocriplasmina	ocriplasmine	ocriplasmin	1048016-09-6	fibrinolític	trombolític	
2151	octacaïna	octacaína	octacaïne	octacaine	13912-77-1	anestèsic local		
2152	octenidina	octenidina	octénidine	octenidine	71251-02-0	antifúngic	antisèptic	antivíric
2153	octinoxat	octinoxato	octinoxate	octinoxate	5466-77-3	protector solar		
2154	octisalat	octisalato	octisalate	octisalate	118-60-5	protector solar		
2155	octocog alfa	octocog alfa	octocog alfa	octocog alfa	139076-62-3	hemostàtic		
2156	octocrilè	octocrileno	octocrilène	octocrilene	6197-30-4	protector solar		
2157	octodrina	octodrina	octodrine	octodrine	543-82-8	anestèsic local	vasoconstrictor	
2158	octotiamina	octotiamina	octotiamine	octotiamine	137-86-0	emprat en la prevenció i el tractament del dèficit de vitamina B1		
2159	octoxinol	octoxinol	octoxinol	octoxinol	9002-93-1	espermicida		
2160	octreotida	octreotida	octréotide	octreotide	83150-76-9	hormona hipotalàmica		
2161	ofatumumab	ofatumumab	ofatumumab	ofatumumab	679818-59-8	antineoplàstic		
2162	ofloxacina	ofloxacino	ofloxacine	ofloxacin	82419-36-1	antibiòtic fluoroquinolònic		
2163	olaflur	olaflur	olaflur	olaflur	6818-37-7	anticariogen		
2164	olanzapina	olanzapina	olanzapine	olanzapine	132539-06-1	antipsicòtic		
2165	olaparib	olaparib	olaparib	olaparib	763113-22-0	antineoplàstic		
2166	olaratumab	olaratumab	olaratumab	olaratumab	1024603-93-7	antineoplàstic		
2167	oleandomicina	oleandomicina	oléandomycine	oleandomycin	3922-90-5	antibiòtic macròlid		
2168	oleat de monoetanolamina	oleato de monoetanolamina	oléate de monoéthanolamine	monoethanolamine oleate	2272-11-9	esclerosant		
2169	oleat de sorbitan	oleato de sorbitán	oléate de sorbitan	sorbitan oleate	1338-43-8	coadjuvant farmacèutic		
2170	olmesartan	olmesartán	olmésartan	olmesartan	144689-24-7	antihipertensor		
2171	olodaterol	olodaterol	olodatérol	olodaterol	868049-49-4	broncodilatador		
2172	olopatadina	olopatadina	olopatadine	olopatadine	113806-05-6	antihistamínic		
2173	olprinona	olprinona	olprinone	olprinone	106730-54-5	inotròpic	vasodilatador	
2174	olsalazina	olsalazina	olsalazine	olsalazine	15722-48-2	antiinflamatori gastrointestinal		
2175	omalizumab	omalizumab	omalizumab	omalizumab	242138-07-4	antiasmàtic	anticòs monoclonal	
2176	omapatrilat	omapatrilat	omapatrilate	omapatrilat	167305-00-2	antihipertensor		
2177	ombitasvir	ombitasvir	ombitasvir	ombitasvir	1258226-87-7	antivíric		
2178	omeprazole	omeprazol	oméprazole	omeprazole	73590-58-6	inhibidor de la secreció àcida gàstrica		
2179	omoconazole	omoconazol	omoconazole	omoconazole	74512-12-2	antifúngic		
2180	onartuzumab	onartuzumab	onartuzumab	onartuzumab	1133766-06-9	antineoplàstic		
2181	ondansetró	ondansetrón	ondansétron	ondansetron	99614-02-5	antiemètic		
2182	opebacan	opebacán	opébacan	opebacan	206254-79-7	proteïna bactericida		
2183	opicapona	opicapona	opicapone	opicapone	923287-50-7	antiparkinsonià		
